,file_name,edinet_id,submission_date,reporting_period_start,reporting_period_end,company_name,shares_issued,shares_held,resolution_status_shares,resolution_status_shares_yen,total_shares_acquired,total_shares_acquired_yen,cumulative_shares_acquired,cumulative_shares_acquired_yen,reporting_period_date,acquired_shares,acquired_shares_yen,disposed_share,disposed_share_yen
0,S100RJW2_XBRL,E00804,2023-01-08,2023-07-01,2023-07-31,"ISHIHARA CHEMICAL CO.,LTD.",16308280.0,1361408.0,,,600,"1,049,000","305,600","453,254,300",2023-01-03,600,1049000,,
1,,,,,,,,,,,,,,,2023-01-04,500,863000,,
2,,,,,,,,,,,,,,,2023-01-05,500,855300,,
3,,,,,,,,,,,,,,,2023-01-06,1000,1682200,,
4,,,,,,,,,,,,,,,2023-01-07,600,989700,,
5,,,,,,,,,,,,,,,2023-01-10,600,990100,,
6,,,,,,,,,,,,,,,2023-01-11,1100,1799500,,
7,,,,,,,,,,,,,,,2023-01-12,800,1292200,,
8,,,,,,,,,,,,,,,2023-01-13,400,647900,,
9,,,,,,,,,,,,,,,2023-01-14,800,1278500,,
10,,,,,,,,,,,,,,,2023-01-18,500,807800,,
11,,,,,,,,,,,,,,,2023-01-19,800,1312000,,
12,,,,,,,,,,,,,,,2023-01-20,800,1307300,,
13,,,,,,,,,,,,,,,2023-01-21,800,1285300,,
14,,,,,,,,,,,,,,,2023-01-24,800,1285900,,
15,,,,,,,,,,,,,,,2023-01-25,800,1283000,,
16,,,,,,,,,,,,,,,2023-01-26,700,1110900,,
17,,,,,,,,,,,,,,,2023-01-27,800,1234300,,
18,,,,,,,,,,,,,,,2023-01-28,800,1273100,,
19,,,,,,,,,,,,,,,2023-01-31,700,1134200,,
